Ref,Val,Package,PosX,PosY,Rot,Side
"U2","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",91.000000,-52.000000,0.000000,top
"U3","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",91.000000,-54.000000,0.000000,top
"U4","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",91.000000,-56.000000,0.000000,top
"U5","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",91.000000,-58.000000,0.000000,top
"U6","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",91.000000,-60.000000,0.000000,top
"U7","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",91.000000,-62.000000,0.000000,top
"U8","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",91.000000,-64.000000,0.000000,top
"U9","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",91.000000,-66.000000,0.000000,top
"U10","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",91.000000,-68.000000,0.000000,top
"U11","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",93.000000,-52.000000,0.000000,top
"U12","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",93.000000,-54.000000,0.000000,top
"U13","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",93.000000,-56.000000,0.000000,top
"U14","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",93.000000,-58.000000,0.000000,top
"U15","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",93.000000,-60.000000,0.000000,top
"U16","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",93.000000,-62.000000,0.000000,top
"U17","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",93.000000,-64.000000,0.000000,top
"U18","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",93.000000,-66.000000,0.000000,top
"U19","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",93.000000,-68.000000,0.000000,top
"U20","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",95.000000,-52.000000,0.000000,top
"U21","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",95.000000,-54.000000,0.000000,top
"U22","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",95.000000,-56.000000,0.000000,top
"U23","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",95.000000,-58.000000,0.000000,top
"U24","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",95.000000,-60.000000,0.000000,top
"U25","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",95.000000,-62.000000,0.000000,top
"U26","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",95.000000,-64.000000,0.000000,top
"U27","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",95.000000,-66.000000,0.000000,top
