Designator,Mid X,Mid Y,Rotation,Layer
CN3,113.6,-60.0,270.0,bottom
CN4,92.4,-60.0,270.0,bottom
U10,91.0,-68.0,0.0,top
U100,109.0,-62.0,0.0,top
U101,113.0,-64.0,0.0,top
U102,111.0,-64.0,0.0,top
U103,109.0,-64.0,0.0,top
U104,113.0,-66.0,0.0,top
U105,111.0,-66.0,0.0,top
U106,109.0,-66.0,0.0,top
U107,113.0,-68.0,0.0,top
U108,111.0,-68.0,0.0,top
U109,109.0,-68.0,0.0,top
U11,93.0,-52.0,0.0,top
U110,115.0,-52.0,0.0,top
U111,115.0,-54.0,0.0,top
U112,115.0,-56.0,0.0,top
U113,115.0,-58.0,0.0,top
U114,115.0,-60.0,0.0,top
U115,115.0,-62.0,0.0,top
U116,115.0,-64.0,0.0,top
U117,115.0,-66.0,0.0,top
U118,115.0,-68.0,0.0,top
U12,93.0,-54.0,0.0,top
U13,93.0,-56.0,0.0,top
U14,93.0,-58.0,0.0,top
U15,93.0,-60.0,0.0,top
U16,93.0,-62.0,0.0,top
U17,93.0,-64.0,0.0,top
U18,93.0,-66.0,0.0,top
U19,93.0,-68.0,0.0,top
U2,91.0,-52.0,0.0,top
U20,95.0,-52.0,0.0,top
U21,95.0,-54.0,0.0,top
U22,95.0,-56.0,0.0,top
U23,95.0,-58.0,0.0,top
U24,95.0,-60.0,0.0,top
U25,95.0,-62.0,0.0,top
U26,95.0,-64.0,0.0,top
U27,95.0,-66.0,0.0,top
U28,95.0,-68.0,0.0,top
U29,101.0,-52.0,0.0,top
U3,91.0,-54.0,0.0,top
U30,99.0,-52.0,0.0,top
U31,97.0,-52.0,0.0,top
U32,101.0,-54.0,0.0,top
U33,99.0,-54.0,0.0,top
U34,97.0,-54.0,0.0,top
U35,101.0,-56.0,0.0,top
U36,99.0,-56.0,0.0,top
U37,97.0,-56.0,0.0,top
U38,101.0,-58.0,0.0,top
U39,99.0,-58.0,0.0,top
U4,91.0,-56.0,0.0,top
U40,97.0,-58.0,0.0,top
U41,101.0,-60.0,0.0,top
U42,99.0,-60.0,0.0,top
U43,97.0,-60.0,0.0,top
U44,101.0,-62.0,0.0,top
U45,99.0,-62.0,0.0,top
U46,97.0,-62.0,0.0,top
U47,101.0,-64.0,0.0,top
U48,99.0,-64.0,0.0,top
U49,97.0,-64.0,0.0,top
U5,91.0,-58.0,0.0,top
U50,101.0,-66.0,0.0,top
U51,99.0,-66.0,0.0,top
U52,97.0,-66.0,0.0,top
U53,101.0,-68.0,0.0,top
U54,99.0,-68.0,0.0,top
U55,97.0,-68.0,0.0,top
U56,107.0,-52.0,0.0,top
U57,105.0,-52.0,0.0,top
U58,103.0,-52.0,0.0,top
U59,107.0,-54.0,0.0,top
U6,91.0,-60.0,0.0,top
U60,105.0,-54.0,0.0,top
U61,103.0,-54.0,0.0,top
U62,107.0,-56.0,0.0,top
U63,105.0,-56.0,0.0,top
U64,103.0,-56.0,0.0,top
U65,107.0,-58.0,0.0,top
U66,105.0,-58.0,0.0,top
U67,103.0,-58.0,0.0,top
U68,107.0,-60.0,0.0,top
U69,105.0,-60.0,0.0,top
U7,91.0,-62.0,0.0,top
U70,103.0,-60.0,0.0,top
U71,107.0,-62.0,0.0,top
U72,105.0,-62.0,0.0,top
U73,103.0,-62.0,0.0,top
U74,107.0,-64.0,0.0,top
U75,105.0,-64.0,0.0,top
U76,103.0,-64.0,0.0,top
U77,107.0,-66.0,0.0,top
U78,105.0,-66.0,0.0,top
U79,103.0,-66.0,0.0,top
U8,91.0,-64.0,0.0,top
U80,107.0,-68.0,0.0,top
U81,105.0,-68.0,0.0,top
U82,103.0,-68.0,0.0,top
U83,113.0,-52.0,0.0,top
U84,111.0,-52.0,0.0,top
U85,109.0,-52.0,0.0,top
U86,113.0,-54.0,0.0,top
U87,111.0,-54.0,0.0,top
U88,109.0,-54.0,0.0,top
U89,113.0,-56.0,0.0,top
U9,91.0,-66.0,0.0,top
U90,111.0,-56.0,0.0,top
U91,109.0,-56.0,0.0,top
U92,113.0,-58.0,0.0,top
U93,111.0,-58.0,0.0,top
U94,109.0,-58.0,0.0,top
U95,113.0,-60.0,0.0,top
U96,111.0,-60.0,0.0,top
U97,109.0,-60.0,0.0,top
U98,113.0,-62.0,0.0,top
U99,111.0,-62.0,0.0,top
