Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CN3,AXE640124D,CONN-SMD_40P-P0.40_OK-14GM040-04,113.6,-60,-90,bottom
CN4,AXE640124D,CONN-SMD_40P-P0.40_OK-14GM040-04,92.4,-60,-90,bottom
U2,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,91,-52,0,top
U3,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,91,-54,0,top
U4,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,91,-56,0,top
U5,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,91,-58,0,top
U6,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,91,-60,0,top
U7,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,91,-62,0,top
U8,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,91,-64,0,top
U9,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,91,-66,0,top
U10,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,91,-68,0,top
U11,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,93,-52,0,top
U12,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,93,-54,0,top
U13,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,93,-56,0,top
U14,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,93,-58,0,top
U15,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,93,-60,0,top
U16,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,93,-62,0,top
U17,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,93,-64,0,top
U18,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,93,-66,0,top
U19,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,93,-68,0,top
U20,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,95,-52,0,top
U21,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,95,-54,0,top
U22,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,95,-56,0,top
U23,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,95,-58,0,top
U24,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,95,-60,0,top
U25,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,95,-62,0,top
U26,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,95,-64,0,top
U27,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,95,-66,0,top
U28,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,95,-68,0,top
U29,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,101,-52,0,top
U30,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,99,-52,0,top
U31,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,97,-52,0,top
U32,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,101,-54,0,top
U33,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,99,-54,0,top
U34,XL-B1010RGBT-HF,LED-SMD_4P-L1.0-W1.0-TR_1,97,-54,0,top
